,11,12,13,20,30,,,,,,,,A2,B0,C3,C4,,,,,,,,,,,
,,,,,,,,,,,,備蓄,,標高（m）,,,,,,,,,,,,,
避難先名称,"避難が予想される
住民の地区名",,,指定場所,市町村名,避難種別,避難所区分,"土砂災害・浸水・
津波浸水予測地域","（風水害）
緊急避難先レベル","（津波）
緊急避難先レベル",耐震性,備蓄の有無,備蓄品目,,"経度：東経
(世界測地系10進法)","緯度：北緯
(世界測地系10進法)",備考１,"備考２
（発電機有無）",収容人数,所在地,,,,,,,
旧三尾小学校,三尾地区,,,,美浜町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,有,可搬用発電機2台設置,15.9 ,135.086433,33.8919377,,,190,美浜町三尾778,,,,,,,
三尾分館,三尾地区,,,,美浜町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,有,可搬用発電機3台設置,12.3 ,135.0836561,33.890984,,,45,美浜町三尾841,,,,,,,
松原小学校体育館,吉原地区,新浜地区,上田井地区・田井畑地区・浜の瀬地区,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,5.9 ,135.1447607,33.8888183,,,435,美浜町吉原762,,,,,,,
松原地区公民館,吉原地区,,,津波は３Ｆ,美浜町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆,耐震性有り,有,可搬用発電機2台設置,12.7(3F),135.1446584,33.889772,,,63,美浜町吉原771-4,,,,,,,
松洋中学校体育館,吉原地区,新浜地区,和田東地区,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,9.0 ,135.1368369,33.8906843,,,935,美浜町吉原762,,,,,,,
新浜さざなみ荘,新浜地区,,,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,可搬用発電機2台設置,7.5 ,135.143576,33.885414,,,54,美浜町吉原1093-3,,,,,,,
中央公民館,本の脇地区,和田西地区,和田西中地区,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,8.0 ,135.1297501,33.8959081,,,104,美浜町和田1138,,,,,,,
入山分館,入山地区,,,風水害は２Ｆ,美浜町,避難所 屋内避難先 ,風水害 地震,土砂災害浸水予測地域 ,☆☆,,耐震性有り,有,可搬用発電機2台設置,7.0(2F),135.1401721,33.9064079,,,37,美浜町和田2977-1,,,,,,,
美浜町地域福祉センター,和田東地区,,,津波は３Ｆ,美浜町,避難所 屋内避難先 ,風水害 津波 地震,,☆☆☆,☆☆,耐震性有り,,,16.0(3F),135.1340476,33.8937916,,,244,美浜町和田1138-326,,,,,,,
浜ノ瀬住民会館,浜ノ瀬地区,,,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,可搬用発電機1台設置,6.8 ,135.1487151,33.8823267,,,39,美浜町浜ノ瀬356-55,,,,,,,
浜ノ瀬分館,浜ノ瀬地区,,,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,有,可搬用発電機1台設置,5.8,135.1517442,33.8803636,,,34,美浜町浜ノ瀬71,,,,,,,
和田小学校体育館,本の脇地区,和田西地区,和田西中地区・和田東中地区・和田東地区,,美浜町,避難所 屋内避難先 ,風水害 地震,,☆☆☆,,耐震性有り,,,8,135.1317139,33.895458,,,435,美浜町和田1138-176,,,,,,,
浜ノ瀬避難タワー,浜ノ瀬地区,,,,美浜町,津波避難タワー,津波 ,,,☆☆,,,,5.8,135.1516843,33.88031194,,,,美浜町浜ノ瀬71,,,,,,,
田井畑コミュニティセンター,田井畑地区,,,,美浜町,津波避難ビル ,津波 ,津波浸水予測地域,,☆☆,,,,2.5,135.151198,33.884877,,,,美浜町田井462-4,,,,,,,
ホテルグリーンヒル美浜,上田井地区,,,,美浜町,津波避難ビル ,津波 ,津波浸水予測地域,,☆☆,,,,3,135.143328,33.90321,,,,美浜町和田2193,,,,,,,
WAY美浜店,田井畑地区,,,,美浜町,津波避難ビル ,津波 ,津波浸水予測地域,,☆☆,,,,2.5,135.151766,33.88634,,,,美浜町田井426-2,,,,,,,
カンフォータブル一番館,入山地区,上田井地区,,,美浜町,津波避難ビル ,津波 ,津波浸水予測地域,,☆☆,,,,3,135.143826,33.903723,,,,美浜町和田2102-1,,,,,,,
各班で決めた一時避難場所１,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.088985,33.89148964,,,,,,,,,,,
各班で決めた一時避難場所２,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0874051,33.88869535,,,,,,,,,,,
各班で決めた一時避難場所３,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0885504,33.89063021,,,,,,,,,,,
各班で決めた一時避難場所４,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0926381,33.88988655,,,,,,,,,,,
各班で決めた一時避難場所５,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.09583,33.88938781,,,,,,,,,,,
各班で決めた一時避難場所６,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0863242,33.89080833,,,,,,,,,,,
各班で決めた一時避難場所７,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0853908,33.8919572,,,,,,,,,,,
各班で決めた一時避難場所８,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0878531,33.89248265,,,,,,,,,,,
各班で決めた一時避難場所９,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0824028,33.89211751,,,,,,,,,,,
各班で決めた一時避難場所１０,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0822043,33.89245593,,,,,,,,,,,
各班で決めた一時避難場所１１,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0826496,33.89398773,,,,,,,,,,,
各班で決めた一時避難場所１２,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0781918,33.89343112,,,,,,,,,,,
各班で決めた一時避難場所１３,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0760674,33.89405452,,,,,,,,,,,
各班で決めた一時避難場所１４,三尾地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.0762284,33.89085732,,,,,,,,,,,
本の脇集会場,本の脇地区,,,,美浜町,屋内避難先 ,津波 ,,,☆☆,,,,13.4,135.119962,33.895663,,,,美浜町和田1864-4,,,,,,,
西山麓,本の脇地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20.0以上,135.1146913,33.89661041,,,,,,,,,,,
畜産センター,和田西地区,,,津波は２Ｆ,美浜町,屋内避難先 ,津波 ,,,☆☆☆,,,,15.5(2F),135.1263388,33.89621078,,,,美浜町和田1138-26,,,,,,,
谷口川砂防ダム周辺,和田西地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,15,135.1241922,33.89916912,,,,,,,,,,,
和田小学校,和田西中地区,和田東中地区,和田東地区,津波は屋上,美浜町,屋外避難先 ,津波 ,,,☆☆,,,,20.0(屋上),135.1316401,33.89539927,,,,美浜町和田1138-176,,,,,,,
シスコアパート周辺,和田西中地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,12.6,135.128105,33.89722488,,,,,,,,,,,
下池付近の高台,和田西中地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,21.7,135.127715,33.900903,,,,,,,,,,,
今池周辺,和田西中地区,,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,22,135.128752,33.902947,,,,,,,,,,,
美浜町役場,和田東中地区,和田東地区,,津波は屋上,美浜町,屋外避難先 ,津波 ,,,☆☆,,,,22.0(屋上),135.133262,33.893806,,,,美浜町和田1138-278,,,,,,,
三宝寺周辺,入山地区,上田井地区,,,美浜町,屋外避難先 ,津波 ,,,☆☆☆,,,,20,135.14154,33.906862,,,,,,,,,,,
松原小学校,吉原地区,新浜地区,,津波は屋上,美浜町,屋外避難先 ,津波 ,,,☆☆,,,,17.7(屋上),135.1443753,33.88941676,,,,美浜町吉原762,,,,,,,
松の実公園,新浜地区,田井畑地区,,,美浜町,屋外避難先 ,津波 ,,,☆,,,,9,135.1471862,33.88646208,,,,,,,,,,,
個人宅前,浜ノ瀬地区,,,,美浜町,屋外避難先 ,津波 ,,,☆,,,,10.5,135.1478755,33.88474311,,,,,,,,,,,
松原郵便局裏の松林,新浜地区,浜ノ瀬地区,田井畑地区,,美浜町,屋外避難先 ,津波 ,,,☆,,,,11,135.148051,33.886204,,,,,,,,,,,
ロマンシティ（３階以上）,上田井地区,,,津波は３Ｆ以上,美浜町,屋内避難先 屋外避難先 ,津波 ,津波浸水予測地域,,☆☆,,,,12.0(屋上),135.148785,33.897624,,,,御坊市湯川町財部181,,,,,,,
Joshin　御坊店,上田井地区,,,津波は屋上以上,美浜町,屋外避難先 津波避難タワー,津波 ,,,☆☆,,,,16.8(最上部),135.151289,33.891227,,,,御坊市薗336-1,,,,,,,
松洋中学校,新浜地区,,,津波は３Ｆ以上,美浜町,屋内避難先 ,津波 ,,,☆☆,耐震性有り,,,17.0(3F),135.1368369,33.8906843,,,,美浜町吉原762,,,,,,,
